plate,well,site,bf_site,nuclei_count
P015093,M18,s4,s2,149
P015093,M18,s5,s3,191
P015093,M18,s6,s4,172
P015093,M18,s8,s5,118
P015093,H21,s2,s1,118
P015093,H21,s4,s2,216
P015093,H21,s5,s3,118
P015093,H21,s6,s4,72
P015093,H21,s8,s5,160
P015093,O07,s2,s1,170
P015093,O07,s4,s2,124
P015093,O07,s5,s3,79
P015093,O07,s6,s4,140
P015093,O07,s8,s5,95
P015094,B02,s2,s1,38
P015094,B02,s4,s2,47
P015094,B02,s5,s3,29
P015094,B02,s6,s4,29
P015094,B02,s8,s5,56
P015094,B03,s2,s1,76
P015094,B03,s4,s2,86
P015094,B03,s5,s3,84
P015094,B03,s6,s4,103
P015094,B03,s8,s5,104
P015094,B07,s2,s1,60
P015094,B07,s4,s2,77
P015094,B07,s5,s3,89
P015094,B07,s6,s4,152
P015094,B07,s8,s5,118
P015094,B14,s2,s1,56
P015094,B14,s4,s2,52
P015094,B14,s5,s3,58
P015094,B14,s6,s4,50
P015094,B14,s8,s5,60
P015094,C02,s2,s1,74
P015094,C02,s4,s2,157
P015094,C02,s5,s3,136
P015094,C02,s6,s4,131
P015094,C02,s8,s5,141
P015094,C14,s2,s1,31
P015094,C14,s4,s2,43
P015094,C14,s5,s3,51
P015094,C14,s6,s4,56
P015094,C14,s8,s5,66
P015094,C20,s2,s1,1
P015094,C20,s4,s2,120
P015094,C20,s5,s3,75
P015094,C20,s6,s4,58
P015094,C20,s8,s5,127
P015094,D22,s2,s1,81
P015094,D22,s4,s2,84
P015094,D22,s5,s3,65
P015094,D22,s6,s4,64
P015094,D22,s8,s5,139
P015094,E10,s2,s1,111
P015094,E10,s4,s2,113
P015094,E10,s5,s3,104
P015094,E10,s6,s4,85
P015094,E10,s8,s5,111
P015094,E20,s2,s1,75
P015094,E20,s4,s2,164
P015094,E20,s5,s3,89
P015094,E20,s6,s4,91
P015094,E20,s8,s5,136
P015094,F03,s2,s1,76
P015094,F03,s4,s2,75
P015094,F03,s5,s3,86
P015094,F03,s6,s4,101
P015094,F03,s8,s5,164
P015094,F06,s2,s1,115
P015094,F06,s4,s2,143
P015094,F06,s5,s3,164
P015094,F06,s6,s4,150
P015094,F06,s8,s5,135
P015094,F10,s2,s1,139
P015094,F10,s4,s2,146
P015094,F10,s5,s3,155
P015094,F10,s6,s4,99
P015094,F10,s8,s5,156
P015094,F13,s2,s1,121
P015094,F13,s4,s2,165
P015094,F13,s5,s3,111
P015094,F13,s6,s4,162
P015094,F13,s8,s5,167
P015094,F22,s2,s1,98
P015094,F22,s4,s2,127
P015094,F22,s5,s3,88
P015094,F22,s6,s4,55
P015094,F22,s8,s5,130
P015094,G08,s2,s1,156
P015094,G08,s4,s2,131
P015094,G08,s5,s3,149
P015094,G08,s6,s4,100
P015094,G08,s8,s5,154
P015094,G14,s2,s1,68
P015094,G14,s4,s2,53
P015094,G14,s5,s3,72
P015094,G14,s6,s4,37
P015094,G14,s8,s5,70
P015094,H17,s2,s1,144
P015094,H17,s4,s2,152
P015094,H17,s5,s3,113
P015094,H17,s6,s4,151
P015094,H17,s8,s5,114
P015094,H21,s2,s1,30
P015094,H21,s4,s2,74
P015094,H21,s5,s3,39
P015094,H21,s6,s4,36
P015094,H21,s8,s5,31
P015094,I14,s2,s1,105
P015094,I14,s4,s2,86
P015094,I14,s5,s3,111
P015094,I14,s6,s4,94
P015094,I14,s8,s5,101
P015094,I17,s2,s1,72
P015094,I17,s4,s2,79
P015094,I17,s5,s3,82
P015094,I17,s6,s4,71
P015094,I17,s8,s5,54
P015094,J05,s2,s1,148
P015094,J05,s4,s2,116
P015094,J05,s5,s3,127
P015094,J05,s6,s4,146
P015094,J05,s8,s5,82
P015094,J06,s2,s1,145
P015094,J06,s4,s2,88
